Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Second round,2,Tue,2023-11-21,20:00 (21:30),China PR cn,0–3,kr Korea Republic,39969,Shenzhen Universiade Sports Centre,Abdulrahman Ibrahim Al Jassim,Match Report,
,,,,,,,,,,,,
Second round,3,Thu,2024-03-21,14:00 (18:30),Pakistan pk,0–3,jo Jordan,9625,Jinnah Sports Stadium,Rustam Lutfullin,Match Report,
Second round,3,Thu,2024-03-21,16:00 (17:30),Chinese Taipei tw,0–2,kg Kyrgyz Republic,1028,Nanzih Football Stadium,Yahya Ali Al Mulla,Match Report,
Second round,3,Thu,2024-03-21,18:00 (21:00),Myanmar mm,1–1,sy Syria,7580,Thuwunna Youth Training Center - Stadium,Hasan Akrami,Match Report,
Second round,3,Thu,2024-03-21,19:23 (19:53),Japan jp,1–0,kp Korea DPR,59354,Japan National Stadium,Adel Ali Al Naqbi,Match Report,
Second round,3,Thu,2024-03-21,20:00 (21:30),Hong Kong hk,0–2,uz Uzbekistan,6263,Mong Kok Stadium,Kim Woosung,Match Report,
Second round,3,Thu,2024-03-21,20:00 (20:30),Korea Republic kr,1–1,th Thailand,64912,Seoul World Cup Stadium,Khalid Saleh Al Turais,Match Report,
Second round,3,Thu,2024-03-21,20:10 (18:40),Australia au,2–0,lb Lebanon,27026,CommBank Stadium,Khamis Mohammed Al Marri,Match Report,
Second round,3,Thu,2024-03-21,20:30 (23:00),Indonesia id,1–0,vn Vietnam,57696,Stadion Utama Gelora Bung Karno,Salman Ahmad Falahi,Match Report,
Second round,3,Thu,2024-03-21,20:30 (01:30),IR Iran ir,5–0,tm Turkmenistan,23109,Azadi Stadium,Yūsuke Araki,Match Report,
Second round,3,Thu,2024-03-21,20:30 (22:00),Singapore sg,2–2,cn China PR,28414,National Stadium,Shaun Evans,Match Report,
Second round,3,Thu,2024-03-21,21:30 (04:00),Palestine ps,5–0,bd Bangladesh,37432,Jaber Al-Ahmad International Stadium (Neutral Site),Shen Yinhao,Match Report,
Second round,3,Thu,2024-03-21,21:30 (04:00),Qatar qa,3–0,kw Kuwait,9826,Jassim bin Hamad Stadium,Jumpei Iida,Match Report,
Second round,3,Thu,2024-03-21,22:00 (03:30),UAE ae,2–1,ye Yemen,2948,Al Nahyan Stadium,Mohanad Qasim Sarray,Match Report,
Second round,3,Thu,2024-03-21,22:00 (04:30),Saudi Arabia sa,1–0,tj Tajikistan,18756,Al Awwal Park Stadium,Taqi Aljaafari,Match Report,
Second round,3,Thu,2024-03-21,22:00 (03:30),Oman om,2–0,my Malaysia,21863,Sultan Qaboos Sport Complex,Fu Ming,Match Report,
Second round,3,Thu,2024-03-21,22:00 (04:30),Afghanistan af,0–0,in India,3900,Damac Club Stadium (Neutral Site),Kim Heegon,Match Report,
Second round,3,Thu,2024-03-21,22:00 (04:30),Iraq iq,1–0,ph Philippines,63750,Basra Sports City Stadium,Abdullah Jamali,Match Report,
Second round,3,Thu,2024-03-21,22:00 (04:30),Nepal np,0–5,bh Bahrain,5041,Stād Al Bahrayn Al Watanī (Neutral Site),Alex King,Match Report,
,,,,,,,,,,,,
Second round,4,Tue,2024-03-26,15:30 (19:00),Bangladesh bd,0–1,ps Palestine,5195,Bashundhara Kings Arena,Nasrullo Kabirov,Match Report,
Second round,4,Tue,2024-03-26,17:00 (17:30),Korea DPR kp,0–3,jp Japan,,Kim Il Sung Stadium,Abdulrahman Ibrahim Al Jassim,Match Report,Match awarded to Japan
Second round,4,Tue,2024-03-26,19:00 (21:30),Vietnam vn,0–3,id Indonesia,27832,Sân vận động quốc gia Mỹ Đình,Alireza Faghani,Match Report,
Second round,4,Tue,2024-03-26,19:00 (23:00),India in,1–2,af Afghanistan,8932,Indira Gandhi Athletic Stadium,Mohammed Khaled Al Hoish,Match Report,
Second round,4,Tue,2024-03-26,19:00 (20:30),Philippines ph,0–5,iq Iraq,10014,Rizal Memorial Stadium,Nazmi Nasaruddin,Match Report,
Second round,4,Tue,2024-03-26,19:30 (00:00),Uzbekistan uz,3–0,hk Hong Kong,29584,Milliy Stadioni,Ahmed Al Ali,Match Report,
Second round,4,Tue,2024-03-26,19:30 (22:00),Thailand th,0–3,kr Korea Republic,45458,Rajamangala National Stadium,Adham Makhadmeh,Match Report,
Second round,4,Tue,2024-03-26,19:45 (18:15),Lebanon lb,0–5,au Australia,25023,GIO Stadium Canberra (Neutral Site),Mooud Bonyadifard,Match Report,
Second round,4,Tue,2024-03-26,20:00 (23:30),Kyrgyz Republic kg,5–1,tw Chinese Taipei,13657,Stadion imeni Dolena Omurzakova,Ammar Ebrahim Mahfoodh,Match Report,
Second round,4,Tue,2024-03-26,20:00 (21:30),China PR cn,4–1,sg Singapore,42977,Tianjin Olympic Center Stadium,Omar Mohamed Al Ali,Match Report,
Second round,4,Tue,2024-03-26,20:00 (00:30),Turkmenistan tm,0–1,ir IR Iran,10230,Aşgabat Köpugurly Stadiony,Sivakorn Pu-udom,Match Report,
Second round,4,Tue,2024-03-26,20:00 (00:30),Tajikistan tj,1–1,sa Saudi Arabia,13300,Varzişgohi Markazii Çumhurijavii,Kim Jonghyeok,Match Report,
Second round,4,Tue,2024-03-26,21:00 (04:30),Jordan jo,7–0,pk Pakistan,14695,Amman International Stadium,Nivon Robesh,Match Report,
Second round,4,Tue,2024-03-26,22:00 (04:30),Syria sy,7–0,mm Myanmar,3252,Prince Mohammed bin Fahad bin Abdulaziz ... (Neutral Site),Pranjal Banerjee,Match Report,
Second round,4,Tue,2024-03-26,22:00 (23:30),Malaysia my,0–2,om Oman,26499,Stadium Nasional Bukit Jalil,Ko Hyungjin,Match Report,
Second round,4,Tue,2024-03-26,22:00 (04:30),Kuwait kw,1–2,qa Qatar,8460,Ali Sabah Al Salem Stadium,Sadullo Gulmurodi,Match Report,
Second round,4,Tue,2024-03-26,22:00 (04:30),Yemen ye,0–3,ae UAE,1135,Prince Saud bin Jalawi Stadium (Neutral Site),Ilgiz Tantashev,Match Report,
Second round,4,Tue,2024-03-26,22:00 (04:30),Bahrain bh,3–0,np Nepal,2475,Stād Al Bahrayn Al Watanī,Ryo Tanimoto,Match Report,
,,,,,,,,,,,,
Second round,5,Thu,2024-06-06,16:00 (18:30),Indonesia id,0–2,iq Iraq,60245,Stadion Utama Gelora Bung Karno,Shaun Evans,Match Report,
Second round,5,Thu,2024-06-06,16:45 (20:15),Bangladesh bd,0–2,au Australia,5227,Bashundhara Kings Arena,Jansen Foo,Match Report,
Second round,5,Thu,2024-06-06,18:40 (21:40),Myanmar mm,0–5,jp Japan,21200,Thuwunna Youth Training Center - Stadium,Majed Mohammed Al Shamrani,Match Report,
Second round,5,Thu,2024-06-06,19:00 (01:30),Nepal np,0–4,ae UAE,2450,Prince Mohammed bin Fahad bin Abdulaziz ... (Neutral Site),Payam Heidari,Match Report,
Second round,5,Thu,2024-06-06,19:00 (01:30),Afghanistan af,0–0,qa Qatar,651,Prince Abdullah bin Jalawi Stadium (Neutral Site),Sivakorn Pu-udom,Match Report,
Second round,5,Thu,2024-06-06,19:00 (20:30),Chinese Taipei tw,0–3,om Oman,5700,Taipei Municipal Stadium,Zaid Thamer Mohammed,Match Report,
Second round,5,Thu,2024-06-06,19:00 (23:00),India in,0–0,kw Kuwait,58921,Vivekananda Yuba Bharati Krirangan Stadi...,Fu Ming,Match Report,
Second round,5,Thu,2024-06-06,19:00 (01:30),Palestine ps,0–0,lb Lebanon,2428,Jassim bin Hamad Stadium (Neutral Site),Abdulrahman Ibrahim Al Jassim,Match Report,
Second round,5,Thu,2024-06-06,19:00 (21:30),Vietnam vn,3–2,ph Philippines,11568,Sân vận động quốc gia Mỹ Đình,Hanna Hattab,Match Report,
Second round,5,Thu,2024-06-06,19:30 (00:00),Uzbekistan uz,3–1,tm Turkmenistan,27306,Milliy Stadioni,Yūsuke Araki,Match Report,
Second round,5,Thu,2024-06-06,20:00 (22:30),Korea DPR kp,1–0,sy Syria,100,Lao National Stadium KM16 (Neutral Site),Salman Ahmad Falahi,Match Report,
Second round,5,Thu,2024-06-06,20:00 (21:30),China PR cn,1–1,th Thailand,46979,Shenyang Olympic Sports Center Stadium,Ilgiz Tantashev,Match Report,
Second round,5,Thu,2024-06-06,20:00 (21:30),Hong Kong hk,2–4,ir IR Iran,9992,Hong Kong Stadium,Qasim Matar Al Hatmi,Match Report,
Second round,5,Thu,2024-06-06,20:00 (21:30),Singapore sg,0–7,kr Korea Republic,49097,National Stadium,Sadullo Gulmurodi,Match Report,
Second round,5,Thu,2024-06-06,20:30 (01:00),Pakistan pk,0–3,sa Saudi Arabia,20124,Jinnah Sports Stadium,Ammar Ebrahim Mahfoodh,Match Report,
Second round,5,Thu,2024-06-06,20:30 (03:00),Jordan jo,3–0,tj Tajikistan,14795,Amman International Stadium,Ahmed Abu Bakar Al Kaf,Match Report,
Second round,5,Thu,2024-06-06,20:30 (03:00),Bahrain bh,0–0,ye Yemen,2632,Stād Al Bahrayn Al Watanī,Nazmi Nasaruddin,Match Report,
Second round,5,Thu,2024-06-06,21:00 (00:30),Kyrgyz Republic kg,1–1,my Malaysia,14135,Stadion imeni Dolena Omurzakova,Adham Makhadmeh,Match Report,
,,,,,,,,,,,,
Second round,6,Tue,2024-06-11,18:45 (01:15),Qatar qa,2–1,in India,2816,Jassim bin Hamad Stadium,Kim Woosung,Match Report,
Second round,6,Tue,2024-06-11,18:45 (01:15),Kuwait kw,1–0,af Afghanistan,11680,Ali Sabah Al Salem Stadium,Hiroyuki Kimura,Match Report,
Second round,6,Tue,2024-06-11,19:00 (01:30),Lebanon lb,4–0,bd Bangladesh,13721,Khalifa International Stadium (Neutral Site),Razlan Joffri,Match Report,
Second round,6,Tue,2024-06-11,19:14 (19:44),Japan jp,5–0,sy Syria,26650,Hot Staff Field Hiroshima,Ahmad Al Ali,Match Report,
Second round,6,Tue,2024-06-11,19:30 (22:00),Thailand th,3–1,sg Singapore,39404,Rajamangala National Stadium,Mohanad Qasim Sarray,Match Report,
Second round,6,Tue,2024-06-11,19:30 (22:00),Indonesia id,2–0,ph Philippines,64842,Stadion Utama Gelora Bung Karno,Rustam Lutfullin,Match Report,
Second round,6,Tue,2024-06-11,20:00 (22:30),Korea DPR kp,4–1,mm Myanmar,141,Lao National Stadium KM16 (Neutral Site),Shen Yinhao,Match Report,
Second round,6,Tue,2024-06-11,20:00 (01:30),Oman om,1–1,kg Kyrgyz Republic,13754,Sultan Qaboos Sport Complex,Alireza Faghani,Match Report,
Second round,6,Tue,2024-06-11,20:00 (00:30),Tajikistan tj,3–0,pk Pakistan,7800,Varzişgohi Markazii Çumhurijavii,Mooud Bonyadifard,Match Report,
Second round,6,Tue,2024-06-11,20:00 (20:30),Korea Republic kr,1–0,cn China PR,64935,Seoul World Cup Stadium,Mohammed Khaled Al Hoish,Match Report,
Second round,6,Tue,2024-06-11,20:00 (00:30),Turkmenistan tm,0–0,hk Hong Kong,10324,Aşgabat Köpugurly Stadiony,Hussein Abo Yehia,Match Report,
Second round,6,Tue,2024-06-11,20:10 (21:40),Australia au,5–0,ps Palestine,18261,HBF Park,Khalid Saleh Al Turais,Match Report,
Second round,6,Tue,2024-06-11,21:00 (03:30),Iraq iq,3–1,vn Vietnam,42791,Basra Sports City Stadium,Omar Mohamed Al Ali,Match Report,
Second round,6,Tue,2024-06-11,21:00 (02:30),UAE ae,1–1,bh Bahrain,953,Zabeel Stadium,Ma Ning,Match Report,
Second round,6,Tue,2024-06-11,21:00 (03:30),Yemen ye,2–2,np Nepal,905,Prince Mohammed bin Fahad bin Abdulaziz ... (Neutral Site),Ahmad Ibrahim,Match Report,
Second round,6,Tue,2024-06-11,21:00 (22:30),Malaysia my,3–1,tw Chinese Taipei,14731,Stadium Nasional Bukit Jalil,Abdullah Jamali,Match Report,
Second round,6,Tue,2024-06-11,21:00 (03:30),Saudi Arabia sa,1–2,jo Jordan,17871,Al Awwal Park Stadium,Adel Ali Al Naqbi,Match Report,
Second round,6,Tue,2024-06-11,21:30 (02:30),IR Iran ir,0–0,uz Uzbekistan,15468,Azadi Stadium,Kim Jonghyeok,Match Report,
,,,,,,,,,,,,
Third round,1,Thu,2024-09-05,19:00 (01:30),Iraq iq,1–0,om Oman,63720,Basra Sports City Stadium,Khalid Saleh Al Turais,Match Report,
Third round,1,Thu,2024-09-05,19:00 (01:30),Qatar qa,1–3,ae UAE,33952,Ahmed bin Ali Stadium,Shaun Evans,Match Report,
Third round,1,Thu,2024-09-05,19:00 (23:30),Uzbekistan uz,1–0,kp Korea DPR,24205,Milliy Stadioni,Ahmed Abu Bakar Al Kaf,Match Report,
Third round,1,Thu,2024-09-05,19:35 (20:05),Japan jp,7–0,cn China PR,52398,Saitama Stadium 2002,Abdulrahman Ibrahim Al Jassim,Match Report,
